"","X","year","month","yearmon","Number.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful"
"1718","West Midlands","2017","nov",2017-11-01,9,0,"669","143","62",15,"69",8,55,5,"500","36","68",9,"98",14,"235",16,"256",48,"42",4,"298","32","48"
"1719","West Yorkshire","2017","nov",2017-11-01,10,2,"455","152","67",29,"54",3,24,1,"251","15","32",4,"91",12,"149",10,"150",16,"47",11,"236","32","24"
"1720","Wiltshire","2017","nov",2017-11-01,1,0,"88","19","6",2,"8",2,1,0,"83","4","8",1,"17",3,"15",0,"23",5,"3",2,"81","6","7"
"1463","National","2017","dec",2017-12-01,80,20,"8,018","2,070","853",289,"875",107,294,79,"5,134","425","721",105,"1,356",252,"2,940",209,"2,462",373,"680",105,"5,954","933","894"
"1464","Avon and Somerset","2017","dec",2017-12-01,0,0,"203","39","48",12,"26",5,7,1,"126","7","19",0,"38",3,"61",3,"64",13,"10",3,"137","8","36"
"1465","Bedfordshire","2017","dec",2017-12-01,0,0,"77","25","7",0,"18",2,2,0,"43","8","4",1,"13",4,"22",0,"17",2,"1",1,"69","13","14"
"1466","Cambridgeshire","2017","dec",2017-12-01,0,0,"115","26","7",2,"11",3,0,2,"57","3","10",1,"24",2,"23",3,"27",3,"3",2,"63","3","17"
"1467","Cheshire","2017","dec",2017-12-01,1,1,"206","50","22",7,"18",3,8,0,"126","10","7",1,"41",3,"61",5,"77",13,"11",0,"190","34","18"
"1468","Cleveland","2017","dec",2017-12-01,0,0,"94","32","5",1,"31",4,6,0,"181","11","11",1,"33",0,"59",2,"41",5,"4",0,"50","12","5"
"1469","Cumbria","2017","dec",2017-12-01,1,0,"101","15","4",0,"1",0,1,1,"60","3","5",2,"11",3,"22",0,"35",3,"5",0,"77","7","1"
"1470","Derbyshire","2017","dec",2017-12-01,1,0,"129","28","8",1,"13",0,3,0,"120","14","11",0,"21",7,"42",2,"44",10,"16",15,"82","17","8"
"1471","Devon and Cornwall","2017","dec",2017-12-01,1,0,"152","29","11",0,"11",0,3,2,"78","4","5",1,"32",2,"38",5,"33",9,"5",0,"151","22","10"
"1472","Dorset","2017","dec",2017-12-01,0,0,"97","11","5",3,"12",1,5,0,"72","3","10",0,"15",4,"35",1,"22",9,"8",2,"117","8","22"
"1473","Durham","2017","dec",2017-12-01,3,0,"81","21","2",0,"18",3,1,0,"80","10","4",0,"19",3,"8",0,"26",1,"3",0,"58","3","4"
"1474","Dyfed Powys","2017","dec",2017-12-01,0,0,"42","10","9",1,"4",1,0,0,"24","5","1",0,"14",0,"31",0,"16",3,"3",1,"46","4","5"
"1475","Essex","2017","dec",2017-12-01,1,0,"189","50","29",10,"30",1,5,0,"109","4","24",5,"26",7,"91",6,"50",7,"9",2,"203","43","23"
"1476","Gloucestershire","2017","dec",2017-12-01,1,0,"57","6","3",0,"10",0,1,0,"37","1","3",2,"11",0,"17",0,"13",0,"4",1,"38","5","5"
"1477","GreaterManchester","2017","dec",2017-12-01,9,1,"378","72","51",17,"45",0,18,4,"119","7","9",4,"66",3,"88",4,"120",15,"26",3,"202","18","26"
"1478","Gwent","2017","dec",2017-12-01,2,0,"60","15","6",2,"3",1,3,2,"42","1","4",1,"13",6,"23",2,"12",0,"4",2,"55","7","5"
"1479","Hampshire","2017","dec",2017-12-01,2,0,"225","46","20",7,"27",4,7,1,"171","12","35",1,"42",8,"71",7,"71",4,"16",0,"178","23","20"
"1480","Hertfordshire","2017","dec",2017-12-01,6,1,"130","29","6",1,"8",0,5,0,"99","13","17",1,"22",8,"49",6,"32",5,"8",2,"96","26","16"
"1481","Humberside","2017","dec",2017-12-01,1,1,"165","33","9",3,"23",3,4,4,"123","6","25",2,"26",10,"32",1,"41",2,"10",3,"80","10","17"
"1482","Kent","2017","dec",2017-12-01,0,0,"230","75","16",5,"14",5,2,1,"149","14","29",4,"39",5,"72",10,"50",10,"21",1,"157","16","42"
"1483","Lancashire","2017","dec",2017-12-01,0,1,"245","66","11",1,"26",2,5,1,"183","11","23",5,"52",7,"42",2,"119",16,"18",0,"202","42","25"
"1484","Leicestershire","2017","dec",2017-12-01,2,2,"178","42","19",9,"19",2,3,0,"88","5","13",3,"22",4,"27",2,"37",5,"9",2,"84","17","17"
"1485","Lincolnshire","2017","dec",2017-12-01,3,0,"89","19","3",0,"4",0,1,0,"91","7","10",0,"12",3,"33",0,"34",6,"13",0,"107","23","11"
"1486","Merseyside","2017","dec",2017-12-01,2,0,"260","78","23",7,"11",0,9,0,"138","9","24",1,"40",16,"161",8,"57",15,"12",2,"182","33","15"
"1487","Metropolitan and City","2017","dec",2017-12-01,12,8,"1,092","433","145",60,"149",21,65,22,"637","76","174",31,"145",44,"758",68,"350",87,"188",24,"952","241","213"
"1488","Norfolk","2017","dec",2017-12-01,1,0,"131","22","14",1,"6",3,1,1,"100","6","5",1,"30",4,"61",3,"69",5,"9",0,"141","6","13"
"1489","Northamptonshire","2017","dec",2017-12-01,2,1,"105","19","2",0,"6",2,4,1,"40","6","6",2,"21",3,"19",2,"25",1,"14",3,"75","14","11"
"1490","Northumbria","2017","dec",2017-12-01,2,0,"206","77","35",17,"44",3,8,4,"187","20","17",4,"47",10,"40",4,"109",16,"15",3,"148","24","16"
"1491","North Wales","2017","dec",2017-12-01,3,0,"134","26","9",5,"12",0,1,1,"82","3","7",0,"30",2,"16",1,"36",3,"4",2,"97","13","8"
"1492","North Yorkshire","2017","dec",2017-12-01,0,0,"98","26","2",0,"14",2,2,1,"71","8","10",0,"21",3,"24",0,"28",6,"14",5,"83","6","14"
"1493","Nottinghamshire","2017","dec",2017-12-01,4,0,"172","55","34",15,"23",3,13,2,"152","5","17",5,"34",4,"94",14,"56",5,"18",4,"107","9","27"
"1494","South Wales","2017","dec",2017-12-01,5,0,"251","79","30",6,"32",2,8,3,"188","16","22",4,"48",7,"115",8,"101",7,"23",0,"183","27","11"
"1495","South Yorkshire","2017","dec",2017-12-01,0,0,"204","52","8",2,"32",9,12,6,"138","8","15",1,"44",5,"65",5,"45",10,"14",0,"82","26","16"
"1496","Staffordshire","2017","dec",2017-12-01,2,0,"160","44","28",6,"15",2,4,2,"98","10","11",3,"31",8,"55",6,"50",3,"14",1,"129","14","18"
"1497","Suffolk","2017","dec",2017-12-01,0,0,"88","11","5",1,"2",0,1,0,"54","5","1",1,"12",0,"37",1,"29",3,"8",0,"111","6","7"
"1498","Surrey","2017","dec",2017-12-01,0,0,"124","22","15",3,"4",2,1,0,"38","5","6",1,"14",2,"36",1,"27",3,"2",1,"94","8","16"
"1499","Sussex","2017","dec",2017-12-01,0,0,"250","42","19",10,"11",1,10,1,"107","4","13",3,"30",5,"51",2,"38",6,"12",1,"147","17","11"
"1500","Thames Valley","2017","dec",2017-12-01,1,1,"257","70","55",20,"29",4,6,1,"144","14","22",4,"37",10,"92",6,"68",12,"16",1,"229","24","21"
"1501","Warwickshire","2017","dec",2017-12-01,1,1,"57","14","6",5,"5",0,0,1,"39","4","2",0,"8",0,"4",0,"17",4,"0",2,"67","10","7"
"1502","West Mercia","2017","dec",2017-12-01,0,1,"162","36","19",4,"12",4,4,3,"104","5","15",0,"22",3,"39",0,"53",3,"7",1,"137","17","10"
"1503","West Midlands","2017","dec",2017-12-01,8,0,"519","131","47",24,"36",7,39,8,"340","35","45",4,"63",17,"203",10,"189",23,"57",12,"227","31","69"
"1504","West Yorkshire","2017","dec",2017-12-01,2,0,"417","81","53",19,"52",2,16,3,"234","26","21",5,"71",14,"96",8,"113",18,"44",3,"261","42","39"
"1505","Wiltshire","2017","dec",2017-12-01,1,1,"88","13","3",2,"8",0,0,0,"65","1","9",0,"16",3,"27",1,"21",2,"2",0,"60","4","5"
"1936","National","2018","jan",2018-01-01,91,32,"10,147","2,630","959",329,"1,098",181,366,94,"6,342","555","902",125,"1,847",293,"3,752",249,"3,272",516,"813",95,"7,932","1,191","976"
"1937","Avon and Somerset","2018","jan",2018-01-01,1,1,"306","60","43",11,"20",6,10,4,"149","14","20",0,"46",7,"100",8,"91",12,"12",0,"228","28","24"
"1938","Bedfordshire","2018","jan",2018-01-01,0,1,"112","31","5",1,"12",1,2,1,"67","5","10",2,"11",2,"31",1,"23",4,"5",1,"85","28","15"
"1939","Cambridgeshire","2018","jan",2018-01-01,2,0,"131","41","5",0,"14",3,3,0,"77","7","13",2,"13",3,"18",0,"27",8,"2",5,"99","17","13"
"1940","Cheshire","2018","jan",2018-01-01,2,0,"237","50","26",5,"27",0,7,0,"126","11","22",3,"27",5,"91",4,"131",5,"15",0,"262","31","10"
"1941","Cleveland","2018","jan",2018-01-01,1,0,"88","27","6",1,"27",7,3,3,"256","8","12",0,"30",4,"55",6,"66",11,"9",0,"85","6","5"
"1942","Cumbria","2018","jan",2018-01-01,3,0,"145","13","2",0,"13",2,0,0,"91","6","7",0,"18",2,"35",0,"41",2,"4",0,"109","9","6"
"1943","Derbyshire","2018","jan",2018-01-01,0,0,"215","67","7",3,"14",5,1,1,"170","21","23",1,"41",11,"55",3,"81",15,"19",2,"183","15","16"
"1944","Devon and Cornwall","2018","jan",2018-01-01,1,0,"205","27","11",0,"20",0,9,1,"78","6","7",2,"53",3,"44",1,"80",6,"11",0,"215","21","11"
"1945","Dorset","2018","jan",2018-01-01,2,0,"140","25","16",3,"17",3,2,0,"71","3","12",0,"22",3,"44",2,"33",10,"9",0,"139","10","17"
"1946","Durham","2018","jan",2018-01-01,2,0,"113","22","4",0,"21",4,3,1,"103","10","9",2,"32",7,"10",1,"23",5,"7",2,"90","3","6"
"1947","Dyfed Powys","2018","jan",2018-01-01,0,0,"83","13","8",3,"6",0,0,0,"64","1","1",0,"34",2,"76",3,"27",4,"1",0,"86","11","3"
"1948","Essex","2018","jan",2018-01-01,3,0,"274","73","30",11,"34",0,5,4,"156","11","20",4,"38",6,"82",7,"55",12,"15",2,"259","55","35"
"1949","Gloucestershire","2018","jan",2018-01-01,1,0,"96","14","3",0,"5",2,2,0,"57","6","6",1,"12",0,"22",1,"19",4,"1",0,"63","5","5"
"1950","GreaterManchester","2018","jan",2018-01-01,6,2,"476","70","56",24,"43",9,24,1,"127","7","32",3,"85",7,"84",6,"165",19,"30",2,"294","53","23"
"1951","Gwent","2018","jan",2018-01-01,0,0,"67","22","12",4,"7",6,5,0,"65","5","4",0,"25",4,"44",3,"33",5,"5",0,"105","12","7"
"1952","Hampshire","2018","jan",2018-01-01,3,1,"359","70","29",6,"33",3,13,1,"230","12","26",7,"53",10,"85",5,"72",7,"16",5,"255","27","21"
"1953","Hertfordshire","2018","jan",2018-01-01,0,0,"167","41","8",1,"22",4,10,3,"129","11","19",3,"26",5,"91",2,"48",8,"11",0,"123","22","17"
"1954","Humberside","2018","jan",2018-01-01,2,0,"156","34","7",0,"24",4,5,1,"119","11","15",0,"43",3,"39",1,"46",7,"11",1,"111","10","10"
"1955","Kent","2018","jan",2018-01-01,5,3,"295","75","21",5,"26",7,6,2,"157","16","30",6,"50",12,"80",5,"68",12,"21",2,"211","24","22"
"1956","Lancashire","2018","jan",2018-01-01,4,2,"318","71","13",1,"48",8,17,5,"242","23","25",4,"61",5,"62",6,"125",18,"24",1,"272","39","11"
"1957","Leicestershire","2018","jan",2018-01-01,1,0,"175","45","26",12,"15",1,12,0,"112","11","14",1,"43",6,"21",1,"57",4,"16",2,"125","28","15"
"1958","Lincolnshire","2018","jan",2018-01-01,1,0,"143","23","5",1,"21",4,2,2,"130","5","12",0,"21",2,"48",2,"54",9,"18",5,"168","37","19"
"1959","Merseyside","2018","jan",2018-01-01,5,0,"303","65","18",11,"22",2,4,2,"196","8","31",3,"66",5,"207",12,"80",8,"16",3,"269","31","17"
"1960","Metropolitan and City","2018","jan",2018-01-01,14,11,"1,373","596","127",70,"170",34,75,18,"756","158","187",44,"214",59,"936",86,"426",152,"208",25,"991","304","209"
"1961","Norfolk","2018","jan",2018-01-01,1,0,"184","33","13",3,"10",1,4,0,"99","5","11",0,"47",4,"65",4,"85",7,"15",3,"136","15","2"
"1962","Northamptonshire","2018","jan",2018-01-01,0,0,"139","31","5",0,"17",2,3,0,"63","2","9",1,"18",2,"33",1,"40",4,"8",0,"105","10","29"
"1963","Northumbria","2018","jan",2018-01-01,2,2,"289","78","35",10,"40",10,2,0,"241","22","16",1,"70",27,"76",2,"137",29,"18",2,"205","18","16"
"1964","North Wales","2018","jan",2018-01-01,1,1,"192","36","20",3,"21",3,2,2,"116","5","8",0,"46",5,"43",0,"68",5,"8",1,"141","19","4"
"1965","North Yorkshire","2018","jan",2018-01-01,0,0,"90","16","3",1,"8",2,9,0,"83","6","4",0,"21",2,"27",6,"27",3,"2",0,"89","3","10"
"1966","Nottinghamshire","2018","jan",2018-01-01,3,1,"224","64","38",7,"24",2,9,1,"180","12","16",2,"46",10,"122",11,"76",11,"27",2,"142","17","25"
"1967","South Wales","2018","jan",2018-01-01,0,0,"393","119","32",20,"21",6,5,2,"218","9","50",3,"60",14,"170",8,"116",20,"31",2,"252","29","15"
"1968","South Yorkshire","2018","jan",2018-01-01,1,1,"202","56","11",1,"43",5,9,6,"144","4","21",3,"61",3,"71",6,"95",10,"20",3,"149","22","20"
"1969","Staffordshire","2018","jan",2018-01-01,0,0,"201","56","21",10,"24",6,3,3,"117","10","10",2,"40",7,"60",4,"65",4,"19",1,"158","27","30"
"1970","Suffolk","2018","jan",2018-01-01,1,0,"119","17","5",0,"7",0,3,0,"71","2","6",1,"23",2,"47",2,"37",5,"11",3,"107","10","9"
"1971","Surrey","2018","jan",2018-01-01,0,1,"136","34","15",6,"11",0,0,0,"68","6","9",0,"16",1,"56",4,"19",1,"15",0,"137","10","8"
"1972","Sussex","2018","jan",2018-01-01,0,1,"232","80","27",11,"17",0,6,2,"95","3","15",0,"28",3,"56",2,"51",5,"15",0,"171","24","16"
"1973","Thames Valley","2018","jan",2018-01-01,2,1,"295","84","53",23,"34",4,10,2,"179","15","38",6,"57",13,"114",5,"117",12,"22",2,"331","31","31"
"1974","Warwickshire","2018","jan",2018-01-01,0,0,"69","16","7",5,"7",2,0,3,"69","6","8",1,"8",2,"14",0,"15",4,"2",1,"72","19","13"
"1975","West Mercia","2018","jan",2018-01-01,2,0,"195","47","15",9,"14",5,6,3,"135","14","17",4,"48",6,"65",2,"68",2,"16",1,"209","25","32"
"1976","West Midlands","2018","jan",2018-01-01,12,1,"672","177","75",18,"75",11,62,17,"432","46","59",12,"107",11,"251",19,"269",37,"58",11,"310","51","128"
"1977","West Yorkshire","2018","jan",2018-01-01,7,2,"431","93","91",28,"61",7,12,3,"244","10","32",1,"65",5,"101",7,"100",6,"29",5,"283","32","49"
"1978","Wiltshire","2018","jan",2018-01-01,0,0,"107","18","5",1,"3",0,1,0,"60","2","16",0,"22",3,"21",0,"16",4,"11",0,"108","3","2"
"1893","National","2018","feb",2018-02-01,94,17,"9,119","2,437","883",269,"1,030",129,338,71,"5,865","439","801",120,"1,556",261,"3,423",243,"2,752",448,"710",94,"6,917","1,196","869"
"1894","Avon and Somerset","2018","feb",2018-02-01,2,0,"229","60","33",11,"21",3,1,2,"114","11","15",1,"45",13,"72",6,"94",12,"8",0,"183","26","34"
"1895","Bedfordshire","2018","feb",2018-02-01,0,0,"51","27","5",1,"8",0,9,1,"39","4","7",1,"15",0,"30",0,"25",2,"5",0,"99","30","18"
"1896","Cambridgeshire","2018","feb",2018-02-01,3,0,"109","32","8",1,"8",1,6,0,"66","2","7",1,"19",1,"28",2,"15",5,"3",0,"92","9","13"
"1897","Cheshire","2018","feb",2018-02-01,0,0,"230","52","18",8,"11",1,2,2,"152","10","16",2,"36",6,"93",9,"95",3,"15",1,"197","36","22"
"1898","Cleveland","2018","feb",2018-02-01,0,0,"103","21","8",3,"41",2,13,4,"219","6","15",1,"28",5,"52",3,"35",6,"5",2,"65","10","11"
"1899","Cumbria","2018","feb",2018-02-01,0,0,"101","13","7",0,"10",3,1,0,"74","1","13",1,"13",1,"28",3,"36",1,"6",0,"78","9","4"
"1900","Derbyshire","2018","feb",2018-02-01,1,0,"169","28","6",1,"14",5,2,2,"130","3","11",3,"32",6,"21",3,"45",4,"12",1,"135","29","11"
"1901","Devon and Cornwall","2018","feb",2018-02-01,1,0,"202","26","6",0,"19",0,4,1,"100","5","12",5,"35",4,"59",4,"56",5,"4",0,"163","13","6"
"1902","Dorset","2018","feb",2018-02-01,0,0,"126","16","12",3,"12",2,0,0,"64","2","15",0,"24",2,"45",1,"34",3,"13",1,"133","11","19"
"1903","Durham","2018","feb",2018-02-01,0,0,"116","26","4",0,"14",1,1,1,"75","4","12",1,"17",4,"11",0,"28",3,"5",3,"71","6","9"
"1904","Dyfed Powys","2018","feb",2018-02-01,0,0,"74","6","5",3,"2",0,1,0,"38","0","1",0,"13",2,"62",1,"16",4,"3",0,"62","6","3"
"1905","Essex","2018","feb",2018-02-01,2,0,"239","68","20",10,"27",1,9,1,"125","9","30",2,"36",4,"77",7,"53",9,"10",5,"193","56","17"
"1906","Gloucestershire","2018","feb",2018-02-01,0,0,"79","22","8",0,"12",1,0,1,"45","2","11",0,"17",3,"28",3,"15",2,"4",0,"63","6","11"
"1907","GreaterManchester","2018","feb",2018-02-01,7,1,"404","78","61",21,"45",9,18,2,"143","9","30",3,"67",6,"97",12,"102",18,"29",3,"267","67","25"
"1908","Gwent","2018","feb",2018-02-01,1,0,"99","21","5",1,"7",1,1,1,"59","5","2",0,"15",4,"19",1,"26",4,"4",1,"79","18","13"
"1909","Hampshire","2018","feb",2018-02-01,3,0,"276","59","27",2,"24",4,2,0,"206","11","18",1,"44",3,"83",5,"53",7,"9",0,"185","23","21"
"1910","Hertfordshire","2018","feb",2018-02-01,0,0,"148","33","7",0,"7",1,5,1,"127","14","16",3,"17",6,"88",11,"31",5,"12",0,"131","38","10"
"1911","Humberside","2018","feb",2018-02-01,1,0,"159","27","3",2,"33",2,5,0,"143","14","13",0,"40",6,"33",0,"52",5,"9",0,"62","3","6"
"1912","Kent","2018","feb",2018-02-01,5,0,"289","67","28",6,"16",4,7,0,"152","6","27",5,"59",7,"82",5,"59",11,"22",8,"162","22","28"
"1913","Lancashire","2018","feb",2018-02-01,1,0,"254","56","10",1,"34",3,14,5,"195","9","17",2,"49",4,"64",4,"99",13,"19",4,"187","37","7"
"1914","Leicestershire","2018","feb",2018-02-01,5,1,"167","39","25",7,"19",1,7,1,"97","5","24",0,"24",7,"43",6,"52",9,"8",2,"124","24","14"
"1915","Lincolnshire","2018","feb",2018-02-01,2,0,"106","31","7",0,"10",1,1,0,"92","5","2",0,"19",2,"22",2,"37",6,"20",1,"115","21","12"
"1916","Merseyside","2018","feb",2018-02-01,6,1,"271","70","19",7,"26",1,11,1,"159","10","27",3,"52",10,"163",7,"88",9,"12",4,"240","39","20"
"1917","Metropolitan and City","2018","feb",2018-02-01,19,3,"1,262","565","120",52,"175",26,82,14,"732","111","188",34,"193",36,"812",68,"356",125,"168",19,"971","299","225"
"1918","Norfolk","2018","feb",2018-02-01,1,1,"153","33","7",2,"15",2,2,0,"101","5","3",0,"27",8,"50",2,"65",6,"6",2,"119","10","6"
"1919","Northamptonshire","2018","feb",2018-02-01,0,0,"125","38","5",0,"11",1,4,0,"42","6","7",2,"17",1,"29",6,"24",3,"9",1,"84","9","24"
"1920","Northumbria","2018","feb",2018-02-01,0,0,"286","80","42",14,"55",8,4,0,"216","20","23",8,"62",13,"64",7,"139",14,"20",5,"175","28","12"
"1921","North Wales","2018","feb",2018-02-01,0,0,"122","35","15",2,"11",4,5,1,"80","4","15",2,"21",3,"27",1,"53",3,"8",1,"140","14","7"
"1922","North Yorkshire","2018","feb",2018-02-01,0,0,"132","38","5",0,"19",0,4,0,"84","8","9",2,"25",3,"30",3,"40",9,"13",1,"104","24","6"
"1923","Nottinghamshire","2018","feb",2018-02-01,4,0,"219","47","45",10,"14",2,9,1,"167","13","11",1,"40",10,"104",10,"65",11,"17",3,"159","17","27"
"1924","South Wales","2018","feb",2018-02-01,2,0,"310","90","23",10,"38",6,5,2,"207","12","19",5,"64",5,"178",6,"115",18,"14",1,"188","30","20"
"1925","South Yorkshire","2018","feb",2018-02-01,1,1,"163","64","11",1,"30",1,5,3,"165","13","10",2,"37",11,"70",2,"60",13,"19",1,"107","12","15"
"1926","Staffordshire","2018","feb",2018-02-01,1,0,"148","47","17",6,"21",2,3,1,"111","12","11",1,"27",5,"76",2,"44",9,"22",3,"126","12","23"
"1927","Suffolk","2018","feb",2018-02-01,1,0,"99","13","4",1,"2",2,4,0,"48","3","2",0,"14",2,"44",4,"34",0,"6",0,"77","3","8"
"1928","Surrey","2018","feb",2018-02-01,0,0,"138","30","17",5,"20",1,3,0,"34","4","12",1,"18",2,"29",2,"20",5,"11",1,"122","12","15"
"1929","Sussex","2018","feb",2018-02-01,0,0,"231","46","26",10,"14",4,8,4,"88","10","17",0,"33",6,"65",7,"41",5,"12",0,"183","16","9"
"1930","Thames Valley","2018","feb",2018-02-01,4,0,"268","82","40",11,"30",4,8,7,"203","11","24",1,"48",6,"95",5,"82",20,"24",2,"264","26","14"
"1931","Warwickshire","2018","feb",2018-02-01,2,0,"63","19","8",6,"13",1,2,0,"50","1","7",2,"7",1,"21",1,"16",4,"5",0,"87","11","6"
"1932","West Mercia","2018","feb",2018-02-01,1,0,"184","37","15",6,"10",2,5,0,"102","6","14",1,"23",6,"40",4,"46",5,"6",2,"188","25","9"
"1933","West Midlands","2018","feb",2018-02-01,9,7,"606","147","68",24,"73",5,36,6,"447","34","58",13,"77",12,"247",9,"249",31,"66",13,"293","28","68"
"1934","West Yorkshire","2018","feb",2018-02-01,8,2,"504","132","75",18,"51",10,29,6,"308","14","28",9,"94",21,"120",7,"139",19,"39",3,"361","74","36"
"1935","Wiltshire","2018","feb",2018-02-01,1,0,"105","16","8",3,"8",1,0,0,"66","5","2",1,"13",4,"22",2,"18",2,"8",0,"83","7","5"
"2022","National","2018","mar",2018-03-01,95,19,"9,003","2,379","880",287,"1,000",158,372,87,"5,801","480","802",121,"1,589",267,"3,327",260,"2,713",433,"691",83,"7,184","1,226","963"
"2023","Avon and Somerset","2018","mar",2018-03-01,4,0,"253","59","41",10,"24",3,14,3,"112","13","10",1,"57",8,"64",7,"87",16,"6",3,"206","25","22"
"2024","Bedfordshire","2018","mar",2018-03-01,0,0,"67","22","12",1,"7",0,7,1,"77","11","8",0,"17",3,"49",2,"17",1,"10",1,"129","21","13"
"2025","Cambridgeshire","2018","mar",2018-03-01,3,0,"136","34","10",2,"12",1,3,1,"89","9","13",2,"22",4,"35",2,"22",6,"5",0,"116","9","12"
"2026","Cheshire","2018","mar",2018-03-01,2,0,"258","33","28",3,"26",0,4,1,"146","6","20",1,"40",6,"91",5,"98",11,"15",0,"233","27","27"
"2027","Cleveland","2018","mar",2018-03-01,0,0,"101","38","6",0,"26",3,10,0,"240","8","10",0,"32",4,"54",3,"38",7,"3",0,"74","11","5"
"2028","Cumbria","2018","mar",2018-03-01,0,0,"89","15","6",0,"7",1,1,0,"79","2","9",1,"19",3,"21",0,"48",2,"4",1,"67","8","5"
"2029","Derbyshire","2018","mar",2018-03-01,3,0,"150","42","11",3,"15",0,6,5,"132","10","18",2,"28",6,"35",5,"58",6,"9",0,"93","15","22"
"2030","Devon and Cornwall","2018","mar",2018-03-01,1,0,"194","31","10",3,"24",2,1,0,"75","3","15",0,"32",2,"81",3,"53",3,"11",1,"168","17","4"
"2031","Dorset","2018","mar",2018-03-01,3,0,"108","24","11",4,"12",0,3,1,"56","5","7",0,"23",2,"35",0,"26",5,"6",1,"108","14","20"
"2032","Durham","2018","mar",2018-03-01,0,0,"113","19","2",2,"18",2,4,0,"105","5","7",2,"32",5,"9",1,"27",2,"2",1,"89","1","9"
"2033","Dyfed Powys","2018","mar",2018-03-01,0,0,"68","10","6",2,"4",0,0,0,"24","2","5",0,"18",2,"25",4,"22",1,"0",1,"69","11","3"
"2034","Essex","2018","mar",2018-03-01,4,0,"227","63","35",7,"30",4,14,0,"136","9","20",2,"24",7,"73",7,"36",13,"8",1,"213","77","16"
"2035","Gloucestershire","2018","mar",2018-03-01,2,0,"74","21","2",1,"4",1,0,0,"43","8","7",0,"11",1,"24",4,"6",2,"3",0,"70","10","5"
"2036","GreaterManchester","2018","mar",2018-03-01,3,1,"452","84","92",28,"44",2,29,3,"140","9","26",4,"69",4,"96",7,"114",10,"36",2,"331","53","22"
"2037","Gwent","2018","mar",2018-03-01,0,0,"71","18","8",3,"7",0,1,1,"54","4","11",1,"18",6,"29",4,"27",6,"7",1,"74","8","2"
"2038","Hampshire","2018","mar",2018-03-01,2,0,"274","60","26",4,"19",1,1,0,"192","10","17",2,"34",7,"63",1,"76",10,"15",1,"186","24","21"
"2039","Hertfordshire","2018","mar",2018-03-01,0,0,"151","30","3",1,"25",4,4,0,"129","10","31",4,"23",6,"59",1,"34",10,"11",0,"130","37","17"
"2040","Humberside","2018","mar",2018-03-01,2,0,"167","21","7",3,"30",5,4,2,"130","8","13",1,"36",3,"47",3,"33",4,"11",1,"97","14","14"
"2041","Kent","2018","mar",2018-03-01,7,4,"272","76","22",11,"31",9,10,1,"130","15","25",3,"33",7,"97",10,"51",7,"39",9,"206","26","21"
"2042","Lancashire","2018","mar",2018-03-01,4,1,"255","62","9",0,"50",3,27,5,"203","26","19",1,"47",8,"64",5,"116",8,"15",0,"233","28","17"
"2043","Leicestershire","2018","mar",2018-03-01,3,1,"178","44","17",7,"26",3,4,3,"124","8","19",2,"22",6,"38",7,"26",6,"10",2,"132","35","24"
"2044","Lincolnshire","2018","mar",2018-03-01,0,0,"129","14","5",1,"15",0,1,0,"77","7","12",4,"25",8,"34",0,"33",4,"5",0,"139","33","38"
"2045","Merseyside","2018","mar",2018-03-01,1,1,"269","60","26",4,"19",2,8,0,"153","3","17",10,"58",3,"177",10,"55",17,"10",1,"244","45","25"
"2046","Metropolitan and City","2018","mar",2018-03-01,18,4,"1,279","511","108",55,"140",39,84,33,"640","97","173",27,"176",50,"826",84,"390",105,"202",20,"979","291","236"
"2047","Norfolk","2018","mar",2018-03-01,2,0,"154","34","10",1,"7",1,7,0,"91","10","12",1,"42",6,"43",0,"66",10,"4",2,"146","15","7"
"2048","Northamptonshire","2018","mar",2018-03-01,2,0,"108","40","4",0,"9",7,3,1,"53","9","9",3,"21",4,"24",7,"25",8,"10",0,"74","10","43"
"2049","Northumbria","2018","mar",2018-03-01,0,0,"236","96","32",9,"33",12,4,0,"293","25","24",5,"60",15,"61",9,"121",23,"10",2,"187","30","6"
